ticket_id,title,description,category,priority,resolution,resolution_time_hours
NT-001,Production API Gateway Timeout,"API gateway experiencing 504 timeout errors affecting all microservices. Request latency exceeds 30 seconds. Critical services impacted.",Network,High,"1. Check API gateway logs for error patterns 2. Verify upstream service health and response times 3. Review gateway timeout configurations 4. Scale gateway instances if needed 5. Implement circuit breaker pattern 6. Monitor request queue depth",4.5
NT-002,Customer Data Export Failing,"Scheduled customer data export job fails with memory overflow. Export contains 5M+ records and crashes at 3M mark.",Database,High,"1. Optimize export query with pagination 2. Increase job memory allocation 3. Implement chunked export strategy 4. Add progress tracking and resume capability 5. Archive old records to reduce dataset size",6.0
NT-003,VPN Disconnects Every Hour,"Remote employees report VPN connection drops exactly every 60 minutes. Authentication successful but session terminates unexpectedly.",Network,Medium,"1. Check VPN server session timeout settings 2. Review firewall rules for idle timeout 3. Verify NAT traversal keepalive configuration 4. Update VPN client to latest version 5. Adjust session timeout to longer duration",3.5
NT-004,AI Model Training Job Stuck,"Machine learning training pipeline hangs at epoch 45 without error messages. GPU utilization drops to 0%. Job unresponsive to cancel commands.",Infrastructure,High,"1. Check GPU driver logs for errors 2. Review training job resource limits 3. Verify data loader not blocking 4. Check for deadlock in distributed training 5. Force terminate process and restart with checkpoint 6. Enable verbose logging for next run",5.5
NT-005,Mobile App Login Button Not Working,"iOS app login button unresponsive on iPhone 14 Pro Max only. Works on other devices. No error in console.",Application,Low,"1. Check device-specific CSS/layout issues 2. Verify touch event handlers 3. Test on iOS simulator with same device profile 4. Review safe area insets for notch devices 5. Update button z-index and positioning 6. Deploy hotfix after testing",2.0
NT-006,Printer Wont Print Color Documents,"Office printer HP LaserJet prints only in black and white. Color test page works but documents stay grayscale. Driver updated.",Unknown,Low,"1. Check application print settings for color option 2. Verify printer color mode not disabled 3. Reset printer to factory defaults 4. Check color toner/ink levels 5. Test print from different application 6. Contact HP support if hardware issue",1.5
NT-007,Blockchain Node Sync Stuck at 78%,"Ethereum node synchronization frozen at block 18234567. Peers connected but no new blocks downloading. Disk space sufficient.",Infrastructure,High,"1. Check node logs for peer connection quality 2. Verify network not rate-limiting blockchain traffic 3. Restart node with fresh peer list 4. Check if stuck on known bad block 5. Clear blockchain cache and resync 6. Update node software to latest version",8.0
NT-008,Employee Cant Access Shared Drive,"User reports Access Denied when opening file server HR folder. Other folders accessible. User in correct AD group.",Access Management,Medium,"1. Verify AD group membership and replication status 2. Check NTFS permissions on folder 3. Review share-level permissions 4. Clear local credential cache 5. Verify user not in deny list 6. Force group policy update 7. Test with different user profile",2.5
NT-009,Quantum Computing Simulator Crashes,"Q# quantum simulator terminates with Qubit entanglement error when running algorithm with 128 qubits. Works with 64 qubits.",Application,Medium,"1. Review memory allocation for qubit state storage 2. Check maximum qubit limit in simulator config 3. Optimize quantum circuit depth 4. Implement qubit state compression 5. Use sparse matrix representation 6. Consider cloud quantum service for larger circuits",7.0
NT-010,Security Camera Footage Missing,"Surveillance system shows no recordings between 2 AM - 6 AM yesterday. Cameras online and recording now. NVR storage not full.",Security,High,"1. Check NVR system logs for errors during timeframe 2. Verify recording schedule configuration 3. Review storage disk health and SMART status 4. Check if recording interrupted by software update 5. Verify retention policy not auto-deleting 6. Review physical security of NVR location",4.0
NT-011,Coffee Machine API Integration Broken,"Smart office coffee machine API returns 418 I am a teapot error. Cannot schedule coffee brewing via Slack bot. Firmware up to date.",Unknown,Low,"1. Check API endpoint URL correctness 2. Verify coffee machine network connectivity 3. Review API authentication credentials 4. Test direct HTTP requests to coffee machine 5. Check if API protocol changed with firmware update 6. Contact vendor for API documentation 7. Consider alternative integration method",1.0
NT-012,Database Replication Lag 2 Hours Behind,"MySQL replica server 2 hours behind master. Replication status shows running but not catching up. Network bandwidth normal.",Database,High,"1. Check replica server IO and SQL thread status 2. Review slow query log on replica 3. Verify replica server resource utilization 4. Check for large transactions blocking replication 5. Optimize replica server performance 6. Consider parallel replication threads 7. Review binary log retention",6.5
NT-013,Hologram Display Flickering,"3D holographic display in conference room flickers during video calls. Static images display correctly. Happens only with Zoom.",Application,Low,"1. Update Zoom client to latest version 2. Check video rendering settings in Zoom 3. Verify hologram display refresh rate compatibility 4. Test with other video conferencing apps 5. Adjust graphics card settings 6. Contact hologram vendor for driver update",2.5
NT-014,Load Balancer Health Checks Failing,"AWS ALB marking all targets unhealthy despite services responding correctly. Health check endpoint returns 200 OK but still fails.",Network,High,"1. Review health check path and port configuration 2. Verify security group rules allow health checks 3. Check health check interval and timeout settings 4. Review target response time under load 5. Verify health check matcher settings 6. Test health endpoint from load balancer subnet",3.0
