ticket_id,title,description,category,priority,resolution,created_date,status,resolution_time_hours
TKT-000001,Routing table corruption on [router],Users in Branch Office experiencing intermittent connectivity. Packet loss at 85% detected.,Network,Medium,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,2025-12-11 10:36:48,Closed,44
TKT-000002,VPN connection issues for remote users,Critical security patches available for Oracle EBS. CVE-[cve_id] vulnerability needs immediate attention.,Security,Critical,Applied critical security patch for CVE-[cve_id]. System vulnerability resolved and verified.,2025-09-01 10:36:48,Resolved,40
TKT-000003,Wireless connectivity issues in [area],DHCP pool for subnet [subnet] exhausted. New devices unable to obtain IP addresses.,Network,High,Fixed DNS server configuration and cleared cache. Domain app.company.com resolution working normally.,2025-03-20 10:36:48,Resolved,36
TKT-000004,SSL certificate expiring for api.company.com,Antivirus software detected malware on workstation WS-005. File [filename] quarantined. User isolated.,Security,Low,Confirmed phishing attempt. Blocked sender and updated email filters. User security training scheduled.,2025-10-20 10:36:48,Closed,51
TKT-000005,Privileged account audit request,Annual role-based access review for [department]. 5 users need verification.,Access Management,Medium,Reset service account 41 password. Updated [dependent_services] service configurations.,2025-07-14 10:36:48,Resolved,13
TKT-000006,DNS resolution failures for mail.company.com,Routing inconsistencies on [router]. Traffic to [destination] taking suboptimal paths.,Network,Low,Improved ventilation and cleaned equipment fans. Temperature normalized in Building A.,2026-02-02 10:36:48,Resolved,56
TKT-000007,Firewall rule review required,Remote users unable to establish VPN connections. Authentication server [server] experiencing issues.,Security,High,Removed malware and ran full system scan. Workstation cleaned and monitoring enhanced.,2025-03-26 10:36:48,Closed,49
TKT-000008,Confluence database connection failed,Users reporting [error_type] errors in Confluence. Error occurs during [operation]. Multiple users affected.,Application,Low,Optimized database queries and application caching. Performance improved by 22%.,2025-06-21 10:36:48,Closed,65
TKT-000009,Permission escalation required for david.brown,Privileged account audit requested for compliance. 45 admin accounts to review.,Access Management,Critical,Unlocked account for john.doe after identity verification. Password reset completed successfully.,2026-01-24 10:36:48,Closed,58
TKT-000010,Service account password reset,New employee john.doe requires access to AWS Console. Role: [role]. Manager approval: [manager].,Access Management,High,Completed privileged account audit. 40 findings documented and remediation planned.,2026-03-10 10:36:48,Closed,20
TKT-000011,Jira database connection failed,Integration between ERP and API Service broken. Data exchange failing with error ERR_001.,Application,Critical,Restarted database connection pool. Fixed connection string configuration and verified connectivity.,2025-06-29 10:36:48,Closed,12
TKT-000012,Wireless connectivity issues in [area],Network equipment in Building B overheating. Temperature reading 32°C above normal.,Network,Critical,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,2025-12-30 10:36:48,Closed,45
TKT-000013,High CPU usage on FILE-SRV-01,Power outage in datacenter affecting rack R4. UPS systems engaged. Estimated 7 minutes downtime.,Infrastructure,Critical,Restarted Database Service service and verified functionality. Implemented monitoring alerts for early detection.,2025-03-26 10:36:48,Resolved,52
TKT-000014,Single sign-on configuration issue,User jane.smith needs temporary elevated permissions for AWS Console. Duration: 6 days.,Access Management,Medium,Configured MFA for sarah.johnson using [device_type]. Authentication testing successful.,2026-02-09 10:36:48,Closed,33
TKT-000015,Firewall rule review required,User mike.wilson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Medium,Disabled compromised account 19 and initiated password reset. Access logs reviewed.,2026-03-15 10:36:48,Resolved,31
TKT-000016,Phishing email reported by user,Remote users unable to establish VPN connections. Authentication server [server] experiencing issues.,Security,High,Fixed antivirus update service and deployed latest definitions to all 8 workstations.,2026-02-26 10:36:48,Resolved,63
TKT-000017,Jira application error - [error_type],Database connectivity lost for ERP. Connection pool exhausted. Application functionality severely limited.,Application,Low,Applied application patch to fix [feature] functionality. Feature now working as expected.,2025-09-24 10:36:48,Closed,51
TKT-000018,Antivirus signature update failed,User sarah.johnson reported suspicious email with attachment. Potential phishing attempt. Investigation needed.,Security,Low,Renewed SSL certificate for company.com. Certificate installed and verified across all services.,2026-03-10 10:36:48,Closed,34
TKT-000019,HRMS database connection failed,Data synchronization between Confluence and [target_system] not working. 4247 records affected.,Application,Low,Increased API timeout values and optimized service calls. API response times now within acceptable range.,2025-07-18 10:36:48,Resolved,25
TKT-000020,Multi-factor authentication setup,User jane.smith account locked after 3 failed login attempts. Password reset requested.,Access Management,Low,Revoked all access for terminated employee sarah.johnson. Access removal verified across all systems.,2025-03-20 10:36:48,Closed,26
TKT-000021,Performance issues with Jenkins,Users reporting [error_type] errors in ERP. Error occurs during [operation]. Multiple users affected.,Application,High,Applied application patch to fix [feature] functionality. Feature now working as expected.,2025-05-10 10:36:48,Closed,62
TKT-000022,Network equipment overheating in Data Center,Network equipment in Branch Office overheating. Temperature reading 17°C above normal.,Network,Critical,Expanded DHCP pool range for subnet [subnet]. Additional 26 IP addresses available.,2025-09-11 10:36:48,Resolved,72
TKT-000023,Antivirus signature update failed,Potential data breach detected. 3687 records may be compromised. Immediate investigation required.,Security,High,Blocked IP address [ip_address] and implemented account lockout policy. User account secured.,2025-08-07 10:36:48,Resolved,50
TKT-000024,Server down - MAIL-SRV-02,Hardware diagnostic reports failure on MAIL-SRV-02. Component replacement required. Service impact expected.,Infrastructure,Low,Restored network connectivity. Updated routing tables and verified server accessibility.,2026-03-09 10:36:48,Resolved,52
TKT-000025,User access request for Active Directory,Employee john.doe terminated. Access revocation required across all systems immediately.,Access Management,Low,Unlocked account for david.brown after identity verification. Password reset completed successfully.,2026-01-18 10:36:48,Closed,31
TKT-000026,Salesforce application error - [error_type],Deployment of Salesforce version [version] failed during [stage] stage. Rollback initiated to maintain service.,Application,Low,Updated CSS files and cleared browser cache. UI now rendering correctly across all browsers.,2025-10-27 10:36:48,Closed,63
TKT-000027,Multi-factor authentication setup,SSO authentication failing for SAP. Users unable to access via identity provider.,Access Management,Low,Reset service account 44 password. Updated [dependent_services] service configurations.,2025-11-19 10:36:48,Resolved,66
TKT-000028,Routing table corruption on [router],Network equipment in Building B overheating. Temperature reading 33°C above normal.,Network,Low,Optimized QoS settings and upgraded interface capacity. Latency reduced to 625ms.,2026-03-11 10:36:48,Resolved,7
TKT-000029,Data breach investigation required,Potential data breach detected. 6341 records may be compromised. Immediate investigation required.,Security,Critical,Restarted VPN authentication services. All remote users now able to connect successfully.,2025-04-18 10:36:48,Closed,66
TKT-000030,Power outage affecting datacenter rack R4,Server FILE-SRV-01 ping timeouts detected. Network connectivity issues suspected. Multiple service dependencies affected.,Infrastructure,Low,Scheduled maintenance window. Successfully migrated VM with zero data loss.,2025-11-20 10:36:48,Closed,7
TKT-000031,Database deadlock issues in InventoryDB,Query execution time increased by 95% on CustomerDB. Table [table_name] queries most affected.,Database,High,Identified problematic queries and optimized transaction isolation levels. Deadlock frequency reduced.,2025-08-12 10:36:48,Resolved,52
TKT-000032,VLAN configuration error on SW-ACCESS-02,Users in Remote Site experiencing intermittent connectivity. Packet loss at 95% detected.,Network,Critical,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,2025-09-17 10:36:48,Closed,3
TKT-000033,Group membership review for [group_name],Privileged account audit requested for compliance. 13 admin accounts to review.,Access Management,Medium,Completed privileged account audit. 31 findings documented and remediation planned.,2025-05-01 10:36:48,Resolved,23
TKT-000034,Role-based access review required,Privileged account audit requested for compliance. 33 admin accounts to review.,Access Management,Medium,Granted mike.wilson appropriate access to SAP based on role [role]. Manager approval verified.,2025-10-07 10:36:48,Resolved,23
TKT-000035,ERP UI rendering problems,User sarah.johnson unable to authenticate to Jira. Password reset attempts failing. Access required urgently.,Application,High,Resolved data sync issue by restarting the integration service and clearing the sync queue. Verified all user records are properly synchronized. Implemented monitoring to prevent future failures.,2025-12-14 10:36:48,Closed,64
TKT-000036,Replication lag in UserDB cluster,Index fragmentation on [table_name] exceeds threshold. Query performance severely impacted.,Database,High,Fixed backup script configuration and verified storage connectivity. Backup completed successfully.,2026-01-20 10:36:48,Resolved,61
TKT-000037,Database migration failed for InventoryDB,Migration of CustomerDB from version [old_version] to [new_version] failed during [stage] phase.,Database,Critical,Fixed backup script configuration and verified storage connectivity. Backup completed successfully.,2025-08-16 10:36:48,Resolved,51
TKT-000038,User unable to login to Jira,Data synchronization between Jira and [target_system] not working. 9055 records affected.,Application,Critical,Reset user credentials and cleared authentication cache. User successfully logged in.,2025-04-19 10:36:48,Closed,28
TKT-000039,Hardware failure detected on FILE-SRV-01,Hardware diagnostic reports failure on DB-SERVER-02. Component replacement required. Service impact expected.,Infrastructure,High,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,2025-11-28 10:36:48,Resolved,38
TKT-000040,User unable to login to CRM,The [feature] feature in Salesforce not functioning correctly. Error message: [error_msg]. Business process blocked.,Application,High,Investigated deployment pipeline. Fixed configuration issue and successfully deployed version [version].,2026-02-05 10:36:48,Resolved,24
TKT-000041,Database backup failed for ProductionDB,Migration of ProductionDB from version [old_version] to [new_version] failed during [stage] phase.,Database,Medium,Rebuilt fragmented indexes during maintenance window. Query performance restored to baseline.,2026-03-13 10:36:48,Resolved,35
TKT-000042,User unable to login to ERP,Database connectivity lost for Jira. Connection pool exhausted. Application functionality severely limited.,Application,Medium,Fixed synchronization problem by updating API credentials and restarting the sync service. All pending records processed successfully. Added automated health checks.,2025-05-04 10:36:48,Resolved,72
TKT-000043,Role-based access review required,Privileged account audit requested for compliance. 13 admin accounts to review.,Access Management,Critical,Configured MFA for david.brown using [device_type]. Authentication testing successful.,2025-07-28 10:36:48,Resolved,38
TKT-000044,Memory leak detected on FILE-SRV-01,The File Service service is experiencing downtime. Users unable to access critical applications. Error logs show connection timeouts.,Infrastructure,Critical,Restarted API Service service and verified functionality. Implemented monitoring alerts for early detection.,2025-03-19 10:36:48,Closed,16
TKT-000045,Index rebuild required for CustomerDB,Replication lag detected in CustomerDB cluster. Secondary nodes 103 seconds behind primary.,Database,Critical,Configured transaction log backup and implemented log management. Log space issues resolved.,2025-04-28 10:36:48,Closed,58
TKT-000046,Hardware failure detected on DB-SERVER-02,Power outage in datacenter affecting rack R2. UPS systems engaged. Estimated 4 minutes downtime.,Infrastructure,High,Restarted application services. Investigated memory leak root cause and applied patches.,2026-02-03 10:36:48,Closed,21
TKT-000047,Database deadlock issues in AnalyticsDB,Deadlock frequency increased on InventoryDB. 44 deadlocks in past [timeframe].,Database,High,Restored affected records from backup and ran full data integrity check. Corruption resolved.,2025-05-11 10:36:48,Resolved,18
TKT-000048,Account lockout for user jane.smith,Annual role-based access review for [department]. 20 users need verification.,Access Management,Low,Unlocked account for john.doe after identity verification. Password reset completed successfully.,2026-01-13 10:36:48,Resolved,27
TKT-000049,Single sign-on configuration issue,User jane.smith needs temporary elevated permissions for AWS Console. Duration: 3 days.,Access Management,Medium,Reset service account 10 password. Updated [dependent_services] service configurations.,2026-02-02 10:36:48,Closed,47
TKT-000050,Query performance degradation on InventoryDB,Transaction log for ProductionDB at 73% capacity. Write operations may fail soon.,Database,High,Rebuilt fragmented indexes during maintenance window. Query performance restored to baseline.,2025-09-18 10:36:48,Resolved,14
TKT-000051,Switch port failure on SW-DMZ-01,DHCP pool for subnet [subnet] exhausted. New devices unable to obtain IP addresses.,Network,Low,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,2025-11-30 10:36:48,Resolved,42
TKT-000052,Unauthorized access attempt on Active Directory,Unauthorized access attempt detected on AWS Console. User account 41 showing suspicious activity.,Security,High,Disabled compromised account 38 and initiated password reset. Access logs reviewed.,2025-08-20 10:36:48,Closed,13
TKT-000053,Firewall rule review required,Antivirus software detected malware on workstation WS-003. File [filename] quarantined. User isolated.,Security,High,Removed malware and ran full system scan. Workstation cleaned and monitoring enhanced.,2025-04-28 10:36:48,Resolved,14
TKT-000054,VPN connection issues for remote users,Unauthorized access attempt detected on AWS Console. User account 17 showing suspicious activity.,Security,Medium,Contained potential breach. Conducted forensic analysis and implemented additional monitoring.,2025-09-10 10:36:48,Resolved,54
TKT-000055,Replication lag in InventoryDB cluster,Applications experiencing connection timeouts to AnalyticsDB. Connection pool showing [pool_size] active connections.,Database,High,Configured transaction log backup and implemented log management. Log space issues resolved.,2025-07-30 10:36:48,Resolved,40
TKT-000056,Unauthorized access attempt on Oracle EBS,Firewall rules for Web Service need review. Current configuration allows [port] access from any source.,Security,Medium,Removed malware and ran full system scan. Workstation cleaned and monitoring enhanced.,2026-01-06 10:36:48,Closed,17
TKT-000057,API timeout in ERP,UI components in HRMS not rendering properly on [browser]. CSS/JavaScript conflicts suspected.,Application,Critical,Reset user credentials and cleared authentication cache. User successfully logged in.,2025-06-12 10:36:48,Closed,31
TKT-000058,Disk space full on APP-SRV-03,The Mail Service service is experiencing downtime. Users unable to access critical applications. Error logs show connection timeouts.,Infrastructure,Medium,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,2026-03-01 10:36:48,Resolved,57
TKT-000059,Data breach investigation required,Remote users unable to establish VPN connections. Authentication server [server] experiencing issues.,Security,Low,Renewed SSL certificate for mail.company.com. Certificate installed and verified across all services.,2025-11-15 10:36:48,Closed,30
TKT-000060,Database space running low - AnalyticsDB,Database UserDB space utilization at 87%. Only [space_left]GB remaining capacity.,Database,High,Fixed backup script configuration and verified storage connectivity. Backup completed successfully.,2025-12-24 10:36:48,Closed,18
TKT-000061,Jenkins application error - [error_type],UI components in Jenkins not rendering properly on [browser]. CSS/JavaScript conflicts suspected.,Application,Low,Optimized database queries and application caching. Performance improved by 56%.,2025-12-23 10:36:48,Resolved,60
TKT-000062,Power outage affecting datacenter rack R3,Automated backup job failed for FILE-SRV-01. Error code: ERR_002. Data integrity risk identified.,Infrastructure,Low,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,2025-04-29 10:36:48,Resolved,7
TKT-000063,Data sync issues in Confluence,Data synchronization between Jenkins and [target_system] not working. 2730 records affected.,Application,High,Updated CSS files and cleared browser cache. UI now rendering correctly across all browsers.,2025-11-03 10:36:48,Closed,8
TKT-000064,Memory leak detected on MAIL-SRV-02,Hardware diagnostic reports failure on MAIL-SRV-02. Component replacement required. Service impact expected.,Infrastructure,Low,Cleaned up temporary files and logs. Implemented automated cleanup scripts and storage monitoring.,2025-06-12 10:36:48,Resolved,58
TKT-000065,Database space running low - AnalyticsDB,Data integrity check found corruption in [table_name]. 8667 records potentially affected.,Database,Critical,Rebuilt fragmented indexes during maintenance window. Query performance restored to baseline.,2025-08-06 10:36:48,Closed,31
TKT-000066,Data corruption detected in CustomerDB,Index fragmentation on [table_name] exceeds threshold. Query performance severely impacted.,Database,Medium,Optimized connection pool settings and restarted database services. Connection stability restored.,2025-04-14 10:36:48,Resolved,17
TKT-000067,VPN connection issues for remote users,Firewall rules for Web Service need review. Current configuration allows [port] access from any source.,Security,Low,Updated firewall rules to restrict [port] access to authorized sources only. Security posture improved.,2026-02-05 10:36:48,Closed,4
TKT-000068,VM migration required for APP-SRV-03,Hardware diagnostic reports failure on DB-SERVER-02. Component replacement required. Service impact expected.,Infrastructure,Low,Restarted application services. Investigated memory leak root cause and applied patches.,2026-02-15 10:36:48,Closed,24
TKT-000069,Privileged account audit request,SSO authentication failing for SAP. Users unable to access via identity provider.,Access Management,Low,Revoked all access for terminated employee sarah.johnson. Access removal verified across all systems.,2026-02-23 10:36:48,Resolved,13
TKT-000070,Role-based access review required,User mike.wilson needs temporary elevated permissions for SAP. Duration: 4 days.,Access Management,Critical,Configured MFA for david.brown using [device_type]. Authentication testing successful.,2025-07-09 10:36:48,Closed,16
TKT-000071,Hardware failure detected on PROD-WEB-01,Power outage in datacenter affecting rack R2. UPS systems engaged. Estimated 1 minutes downtime.,Infrastructure,Medium,Replaced faulty hardware component. Ran full diagnostics and confirmed system stability.,2025-11-01 10:36:48,Closed,8
